query,frequency,intent,cluster_id,target_url,page_type,priority,notes
мастер класс по коктейлям спб,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,1,pillar
коктейльный мастер класс спб,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,1,
мастер класс по коктейлям санкт-петербург,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,2,
мастер класс барменов спб,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,2,
мастер класс по приготовлению коктейлей спб,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,2,
мастер класс коктейли цена спб,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,2,коммерческий хвост
мастер класс коктейли отзывы,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,3,
мастер класс по миксологии спб,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,3,
мастер класс коктейли для двоих,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,2,для романтика
мастер класс коктейли для компании,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,2,для группы
мастер класс по алкогольным коктейлям спб,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,3,
мастер класс по безалкогольным коктейлям спб,unknown,commercial-product,1,/events/kokteylnye-master-klassy/,category,3,для семейного формата
мастер класс шейк коктейли,unknown,commercial-product,1.1,/events/kokteylnye-master-klassy/kokteylnyy-master-klass-shake/,product,2,
коктейль daiquiri спб мастер класс,unknown,commercial-product,1.1,/events/kokteylnye-master-klassy/kokteylnyy-master-klass-shake/,product,3,
мастер класс мохито спб,unknown,commercial-product,1.2,/events/kokteylnye-master-klassy/kokteylnyy-master-klass-muddle/,product,2,
коктейль мохито мастер класс,unknown,commercial-product,1.2,/events/kokteylnye-master-klassy/kokteylnyy-master-klass-muddle/,product,3,
коктейль кайпиринья мастер класс,unknown,commercial-product,1.2,/events/kokteylnye-master-klassy/kokteylnyy-master-klass-muddle/,product,3,
классические коктейли iba мастер класс,unknown,commercial-product,1.3,/events/kokteylnye-master-klassy/master-klass-klassicheskie-kokteyli/,product,2,
дегустация вина спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,1,pillar
мастер класс по вину спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,1,
винный мастер класс спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,1,
дегустация вина с сомелье спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,2,
мастер класс сомелье спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,2,
мастер класс по дегустации вина,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,2,
сертификат на дегустацию вина спб,unknown,commercial-gift,2,/events/vinnye-master-klassy/,category,2,пересечение с кластером 11
винная дегустация для двоих спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,2,
винный вечер спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,3,
мастер класс игристые вина спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,3,
дегустация испанских вин спб,unknown,commercial-product,2.1,/events/vinnye-master-klassy/degustatsiya-ispanskikh-vin/,product,2,
дегустация итальянских вин спб,unknown,commercial-product,2.2,GAP-create-page,product,2,гэп: создать страницу
дегустация французских вин спб,unknown,commercial-product,2.3,GAP-create-page,product,2,гэп: создать страницу
дегустация грузинских вин спб,unknown,commercial-product,2.4,GAP-create-page,product,3,гэп: создать страницу
курс дегустации вина спб,unknown,commercial-product,2,/events/vinnye-master-klassy/,category,3,
мастер класс по кофе спб,unknown,commercial-product,3,/events/kofeynye-master-klassy/,category,1,pillar
мастер класс латте арт спб,unknown,commercial-product,3,/events/master-klass-latte-art/,product,1,рассинхрон URL
мастер класс латте арт москва,unknown,commercial-product,3,/events/master-klass-latte-art/,product,2,Москва
мастер класс бариста спб,unknown,commercial-product,3,/events/kofeynye-master-klassy/,category,2,
